,0,1
0,Cho mình hỏi nếu mua iphone xr với giá km 17.990.000 thì sẽ không được km trả góp 0% phải kg bạn???,"Chào anh Dạ đúng ạ, do chương trình Giảm ngay 2 triệu (đã trừ vào giá) này không hỗ trợ cho lãi suất 0% nên anh phải trả góp lãi suất thường mới được giá trên anh nha Thông tin đến anh."
1,xxxx750101 máy về chưa ad. hóng cả 4 ngày này rồi ((,Chào anh Dạ trường hợp này anh đã đặt hàng sản phẩm gì để bên em kiểm tra rồi hỗ trợ anh ạ? Mong nhận được phản hồi từ anh.
2,E muốn mua trả góp cần những gì ạ,"Chào anh Hiện công ty tài chính HOME Credit hỗ trợ trả trước 9.995.000₫ (50%), góp mỗi tháng 1.309.500₫, số tháng góp là 8 tháng, lãi suất 0% với điều kiện đủ 20-60 tuổi có CMND Bằng lái xe / hộ khẩu. Nếu anh đồng ý với gói trả góp này có thể cho em xin thông tin số điện thoại để bên em tư vấn hỗ trợ anh được không ạ? Mong nhận được phản hồi từ anh."
3,Chương trình giảm giá chỉ áp dụng mua online thôi phải không,Dạ em chào anh. Dạ với khuyến mãi Giảm ngay 2 triệu (đã trừ vào giá) thì mình mua trực tiếp ở siêu thị vẫn được anh nha. Nếu anh muốn mua sản phẩm thì Anh vui lòng cho em xin thêm thông tin khu vực mình sống để bên em hỗ trợ kiểm tra hàng cho mình nha.  Mong phản hồi từ anh.
4,"hapric touch là gì v , có giống 3d touch ko","Chào anh! Dạ Haptic Touch cũng tương tự như 3D Touch, tuy nhiên không làm được nhiều điều như 3D Touch. Về cơ bản khi anh chạm vào 1 biểu tượng trong thời gian lâu hơn, nó sẽ hiển thị thêm một menu tùy chọn bên cạnh, đồng thời máy cũng rung lên. Xin thông tin đến anh."
5,Cho em hỏi loa ip xr có 1 bên hay 2 bên,Chào anh. Trường hợp này điện thoại iPhone Xr có loa trên và dưới cùng phát nhạc anh nha Thông tin đến anh!
6,Con này có chơi đc pupg MOBILE ko,Chào anh! Dạ hiện tại sản phẩm Điện thoại iPhone Xr 64GB bên em có thể đáp ứng được game PUBG MOBILE ở mức cấu hình cao ạ. Nếu anh quan tâm vui lòng cho em xin số điện thoại để bên em có thể đặt hàng online nhanh chóng giúp mình được ạ. Mong nhận được phản hồi từ anh.
7,Cho hỏi xr và x hiệu năng máy nào nỗ hơn vậy,Chào anh ! Dạ với trường hợp này con chip Apple A12 Bionic trên iPhone Xr sẽ mạnh hơn con chip Apple A11 Bionic trên iPhone X anh nhé. Thông tin đến anh.
8,Góp 6 tháng trả trước 20% là lãi suất bao nhiu z bạn,"Chào anh Dạ anh có thể tham khảo gói trả góp bên công ty tài chính Home Credit, anh muốn trả trước khoảng 3.598.000₫ (20%) góp trong vòng 6 tháng, góp mỗi tháng 2.970.500₫ với lãi suất 3.30%, cùng giấy tờ CMND và Bằng lái xe / hộ khẩu nha. Nếu được cho em xin số điện thoại để bên em hỗ trợ làm hồ sơ online giúp mình ạ. Mong nhận phản hồi từ anh"
9,Điện thoại em cứ bị quảng cáo vs như này là sao ạ có cách nào để không bị nữa không ạ,Chào chị ! Dạ trường hợp này chị thử lắp vào máy sim khác xem có còn thông báo không ạ. Xin thông tin đến chị.
10,Cho mình hỏi nếu mua iphone xr với giá km 17.990.000 thì sẽ không được km trả góp 0% phải kg bạn???,"Chào anh Dạ đúng ạ, do chương trình Giảm ngay 2 triệu (đã trừ vào giá) này không hỗ trợ cho lãi suất 0% nên anh phải trả góp lãi suất thường mới được giá trên anh nha Thông tin đến anh."
11,xxxx750101 máy về chưa ad. hóng cả 4 ngày này rồi ((,Chào anh Dạ trường hợp này anh đã đặt hàng sản phẩm gì để bên em kiểm tra rồi hỗ trợ anh ạ? Mong nhận được phản hồi từ anh.
12,E muốn mua trả góp cần những gì ạ,"Chào anh Hiện công ty tài chính HOME Credit hỗ trợ trả trước 9.995.000₫ (50%), góp mỗi tháng 1.309.500₫, số tháng góp là 8 tháng, lãi suất 0% với điều kiện đủ 20-60 tuổi có CMND Bằng lái xe / hộ khẩu. Nếu anh đồng ý với gói trả góp này có thể cho em xin thông tin số điện thoại để bên em tư vấn hỗ trợ anh được không ạ? Mong nhận được phản hồi từ anh."
